(-90, -84.230018090089544)
(-80, -70.771282068805988)
(-70, -63.31504162381345)
(-60, -46.854371876751038)
(-50, -40.956481837177215)
(-40, -39.492492690772217)
(-30, -28.934589150908533)
(-20, -17.718016354266627)
(-10, -10.339368094757878)
(0, 0.69223408101227479)
(10, 11.616372648715798)
(20, 14.220637475836966)
(30, 28.898456534135221)
(40, 41.334483136196603)
(50, 50.643394216855569)
(60, 58.182320860920449)
(70, 79.304144837941692)
(80, 78.125056559375892)
(90, 66.663138995692961)
(-90, -81.486876140078664)
(-80, -73.177804553228668)
(-70, -67.733729140977687)
(-60, -56.520286163191926)
(-50, -46.622311898381291)
(-40, -37.422497438014837)
(-30, -25.906234586658016)
(-20, -13.318578296377256)
(-10, -5.9273414050428483)
(0, 1.7868420078385558)
(10, 10.101608798660704)
(20, 20.059355558595282)
(30, 29.669874826891874)
(40, 40.316571856153196)
(50, 54.165530045585299)
(60, 63.197031756308057)
(70, 58.177781171366057)
(80, 78.045062318381525)
(90, 90.0)
